wdr,dissim,leven
0.000502539,0.009303879,0.000553256
0.0012108,0.009589363,0.002455337
0.000556218,0.009507976,0.001168248
0.001334582,0.009547387,0.001825627
0.001747444,0.009602311,0.001888161
0.000961384,0.009745674,0.004360877
0.001922667,0.00921422,0.000375428
0.001375548,0.009490324,0.001290425
0.001266425,0.009342095,0.00076593
0.000371512,0.009387694,0.000807261
0.000278118,0.009722765,0.002181752
0.000969059,0.009592171,0.00199566
0.001136537,0.009444719,0.000817054
0.001039556,0.009507315,0.001658683
0.000457217,0.009243787,0.000379762
0.000700064,0.00956748,0.00144363
0.000763286,0.009641986,0.002137075
0.001277854,0.009476041,0.001163036
0.001636866,0.009271919,0.000479489
0.000953002,0.009506042,0.001535372
0.000475912,0.009809938,0.005832044
0.000824717,0.009614682,0.001880063
0.000550705,0.009376118,0.001208131
0.001089684,0.009405775,0.00079973
0.00124779,0.009414683,0.001125782
0.000776217,0.009642351,0.002346373
0.001722036,0.009265815,0.00050482
0.000924577,0.009477424,0.000871912
0.000715316,0.009520642,0.001912315
0.001071193,0.009362047,0.000671115
0.001366615,0.009502854,0.001286884
0.001341521,0.009273143,0.000539117
0.001054531,0.009487267,0.000946511
0.00150984,0.009424739,0.000915881
0.001780447,0.009558386,0.001412929
0.0013325,0.0095401,0.001233127
0.00073533,0.009654896,0.003816538
0.001535098,0.009306215,0.000724978
0.001595916,0.009268596,0.000573493
0.001248715,0.009513298,0.001219537
0.001491761,0.009346976,0.000674437
0.000491464,0.009764411,0.005605273
0.001758858,0.009496566,0.001197792
0.00081437,0.009525924,0.001074011
0.000722795,0.009538017,0.001347818
0.0012348,0.009562184,0.001533443
0.002369757,0.009302317,0.000592741
0.000707311,0.009614995,0.001601978
0.000899441,0.009590725,0.001633257
0.001120692,0.009508336,0.001162311
0.001409116,0.009384251,0.000739329
0.000721753,0.009369462,0.000650885
0.000737543,0.009430128,0.000982556
0.001557903,0.009398657,0.000643154
0.000564185,0.009770362,0.004974545
0.001076978,0.009541198,0.001801216
0.000652876,0.009622158,0.002270121
0.00109495,0.009482372,0.001192728
0.001210411,0.009572077,0.001712814
0.001292063,0.009502432,0.002059643
0.00101059,0.009296445,0.000535923
0.000550216,0.009534225,0.001460429
0.001089553,0.009209174,0.000406825
0.000738793,0.009715737,0.003433801
0.00112819,0.0095636,0.001464269
0.001166777,0.009328809,0.00066029
0.001378102,0.009569544,0.001748442
0.002446908,0.009231266,0.000607614
0.000845091,0.009713239,0.002716271
0.001182631,0.009578045,0.00131586
0.000687594,0.009356466,0.0007065
0.000610393,0.009865463,0.010518494
0.001127941,0.009586225,0.001429397
0.000825989,0.009546019,0.001946885
0.0012959,0.009650076,0.002137471
0.001124791,0.00978209,0.004542352
0.000400306,0.009760714,0.003865514
0.000603132,0.009724942,0.002666386
0.002320413,0.008983892,0.00024654
0.000876605,0.009619122,0.001725561
0.001677579,0.009324942,0.000657325
0.001009081,0.00958259,0.001464104
0.001114192,0.009463523,0.001894284
0.001436285,0.009378012,0.000971951
0.000630383,0.009655721,0.00171211
0.002180541,0.009332861,0.000789848
0.000442985,0.009736749,0.004268864
0.001301933,0.009709394,0.002746999
0.001739812,0.009357853,0.000566641
0.001874851,0.009370375,0.000635257
0.000680951,0.009706209,0.004047158
0.000737441,0.009413108,0.000928205
0.000750509,0.009779425,0.004341002
0.00134948,0.009397017,0.000652243
0.000725622,0.00952116,0.001211542
0.001175489,0.009488599,0.00080848
0.000638829,0.009474644,0.001243665
0.001306155,0.009572389,0.001786052
0.001171307,0.009385543,0.000696024
0.001000614,0.009714286,0.003080537
0.000692717,0.009804059,0.004843881
-0.000209189,0.009224314,0.001512291
0.001011678,0.009606885,0.001645911
0.001343703,0.009255873,0.000554366
0.000527618,0.009605572,0.001816752
0.000682466,0.009340673,0.000696466
0.002007181,0.009269584,0.000756755
0.002043672,0.009248699,0.000470529
0.000731415,0.009506827,0.000971772
0.000948712,0.00934176,0.000962932
0.000660203,0.009499435,0.002651807
0.000762619,0.00958155,0.001487544
0.001002804,0.009500225,0.001094804
0.000494796,0.009770255,0.005710339
0.000894501,0.009446096,0.001370861
0.000639684,0.009621994,0.00259601
0.001402522,0.009540181,0.001585253
0.000842693,0.009672027,0.001807393
0.001463855,0.009244363,0.000577336
0.001041487,0.009459439,0.001265619
0.000852034,0.009588229,0.002097549
0.001148063,0.009390705,0.000636771
0.001327874,0.009479395,0.000936562
0.000801321,0.009595058,0.001712032
0.001770228,0.009311802,0.000539415
0.000941273,0.00957818,0.00194462
0.000668874,0.009684375,0.002821769
0.000915872,0.00948834,0.000778079
0.001449329,0.00930969,0.000672552
0.000965606,0.009498705,0.000958885
0.000930974,0.009557416,0.001631822
0.000996944,0.009594955,0.002126112
0.000962955,0.009133499,0.000620663
0.001102726,0.009506045,0.001942865
0.000707661,0.00966909,0.002654271
0.001617796,0.009366208,0.00068424
0.000991323,0.009553234,0.00134408
0.000934446,0.00929967,0.000712178
0.001285647,0.009414602,0.000914172
0.000667412,0.009425286,0.00137906
0.00094488,0.009808125,0.005737424
0.00107277,0.009703296,0.00274302
0.001243139,0.009438358,0.001070331
0.001128839,0.00926782,0.000610054
0.001237223,0.009319555,0.000708317
0.001634079,0.009220935,0.000470861
0.00072292,0.009652024,0.001646703
0.000679571,0.009424474,0.001248683
0.000649624,0.00950868,0.00120797
0.001364988,0.009376408,0.000774347
0.000859461,0.009663439,0.00246563
0.001034498,0.009450065,0.000904599
0.001073405,0.009538735,0.001477161
0.001018324,0.009455789,0.001891091
0.00107432,0.00925185,0.000688541
0.00088836,0.009645619,0.002791088
0.000934809,0.009554274,0.001331505
0.001825519,0.009387232,0.000628125
0.000974339,0.009368956,0.000977881
0.000766545,0.009623952,0.002050025
0.001150518,0.009362073,0.000889027
0.00048364,0.009803345,0.005230341
0.001676999,0.009318685,0.000507388
0.001016102,0.009603205,0.001525681
0.00185312,0.00917933,0.000484097
0.0006126,0.009574124,0.001714894
0.00083056,0.009275388,0.000595234
0.000895269,0.009483359,0.000972509
0.00178461,0.009378407,0.000813023
0.001934946,0.009483261,0.00138962
0.00139434,0.008701575,0.001270775
0.000947841,0.00972864,0.004113222
0.001080211,0.008938501,0.00091121
0.000888442,0.009551317,0.001100511
0.000657933,0.009670295,0.003057714
0.001407349,0.009288246,0.00061853
0.000958676,0.009336884,0.000781679
0.000971752,0.009330815,0.000664584
0.001258182,0.009541842,0.00131284
0.001495814,0.009211644,0.000658408
0.001120844,0.009636074,0.001565559
0.002015253,0.009432429,0.000838532
0.000778584,0.009649816,0.002026604
0.000925865,0.009797772,0.005880225
0.001957321,0.00962646,0.002162343
0.001129298,0.009481459,0.001149505
0.000914567,0.009449631,0.001049001
0.00138788,0.009477351,0.000888574
0.001881072,0.009445443,0.001313098
0.001436605,0.009577891,0.001489064
0.000774106,0.009549802,0.001424814
0.000695863,0.00961666,0.002184675
0.002763943,0.009155183,0.000357667
0.000831802,0.009415749,0.000827893
0.001385708,0.009473282,0.001093115
0.001584883,0.009477236,0.001281496
0.001363951,0.009247512,0.000440196
0.001218714,0.009144852,0.000386246
0.001018253,0.009527026,0.001108332
0.000879906,0.009416389,0.001308796
0.000902343,0.009557981,0.001130147
0.001185569,0.009354315,0.000767172
0.000976542,0.009609964,0.001693509
0.00151416,0.009436255,0.000869292
0.001248395,0.009584104,0.002450919
0.000509486,0.009534705,0.001062014
0.000796324,0.009551305,0.001263675
0.001516968,0.009224782,0.00032314
0.000535083,0.009598088,0.002005165
0.001195508,0.009383033,0.00085311
0.000895394,0.009582492,0.001801805
0.001231828,0.009602916,0.00163417
0.000774108,0.009493184,0.001111831
0.000976902,0.009441632,0.000897305
